site,type,AP_kcal,NPE_kcal,NPE_AP_ratio,AP_per_g,NPE_per_g,part
MGV,food,21.53579954,289.9339934,13.46288504,0.215357995,2.899339934,FR
MGV,food,5.648020981,190.9757968,33.81286958,0.05648021,1.909757968,FR
MGV,food,17.54261502,137.922127,7.862119005,0.17542615,1.37922127,FR
MGV,food,3.942702073,221.9581231,56.29594095,0.039427021,2.219581231,FR
MGV,food,14.60965883,326.5456681,22.3513548,0.146096588,3.265456681,FR
MGV,food,29.6352285,201.0159252,6.783005748,0.296352285,2.010159252,FR
MGV,food,18.7452621,240.8167738,12.84680751,0.187452621,2.408167738,LE
MGV,food,67.34953303,168.92196,2.508138548,0.67349533,1.6892196,LE
MGV,food,60.01289698,145.3140044,2.421379598,0.60012897,1.453140044,LE
MGV,food,-2.883545504,240.509049,-83.40740546,-0.028835455,2.40509049,LE
MGV,food,13.09702851,233.2779963,17.81152085,0.130970285,2.332779963,LE
MGV,food,16.92406442,169.8817229,10.03787971,0.169240644,1.698817229,FR
MGV,food,10.29531475,228.536366,22.19809415,0.102953147,2.28536366,FR
MGV,food,4.251539389,161.977106,38.09846062,0.042515394,1.61977106,FR
MGV,food,29.04522274,310.683961,10.69655977,0.290452227,3.10683961,FR
MGV,food,63.75831445,112.0643158,1.757642383,0.637583145,1.120643158,LE
MGV,food,13.19019085,401.6204376,30.44841748,0.131901908,4.016204376,FR
MGV,food,23.03023076,189.8560792,8.243776674,0.230302308,1.898560792,LE
MGV,food,24.32258632,247.0859794,10.158705,0.243225863,2.470859794,LE
MGV,food,-1.494181387,228.1212444,-152.6730599,-0.014941814,2.281212444,LE
MGV,food,65.6568609,185.6997131,2.828336759,0.656568609,1.856997131,LE
MGV,food,40.33586646,107.7245375,2.670688569,0.403358665,1.077245375,LE
MGV,food,22.6557339,124.5441168,5.497244862,0.226557339,1.245441168,OT
MGV,food,46.34562906,193.8335708,4.18234847,0.463456291,1.938335708,FR
MGV,food,35.85862851,224.1935226,6.252149955,0.358586285,2.241935226,OT
MGV,food,100.7739253,163.0105717,1.617586804,1.007739253,1.630105717,LE
MGV,food,17.1080631,404.4676402,23.64193058,0.171080631,4.044676402,FR
MGV,food,10.43095641,390.9846685,37.48310829,0.104309564,3.909846685,FR
MGV,food,-2.074313927,261.2952138,-125.9670537,-0.020743139,2.612952138,FR
MGV,food,23.59398253,308.0819835,13.05765074,0.235939825,3.080819835,FR
MGV,food,23.49985629,164.4715203,6.998830901,0.234998563,1.644715203,LE
MGV,food,9.125184997,389.9171338,42.72977851,0.09125185,3.899171338,FR
MGV,food,22.34323373,203.9028132,9.125931172,0.223432337,2.039028132,FR
MGV,food,17.32184553,131.9084681,7.61515093,0.173218455,1.319084681,OT
MGV,food,24.13952082,156.470444,6.481920049,0.241395208,1.56470444,FR
MGV,food,26.96487065,271.8918836,10.08318887,0.269648706,2.718918836,FR
MGV,food,3.323304412,215.3537092,64.80107824,0.033233044,2.153537092,FR
MGV,food,3.653769399,161.9524738,44.32476604,0.036537694,1.619524738,FR
MGV,food,40.22960446,111.1662963,2.763295781,0.402296045,1.111662963,LE
MGV,food,22.83197383,307.3477129,13.46128527,0.228319738,3.073477129,FR
MGV,food,NA,NA,NA,NA,NA,FR
MGV,food,10.37961832,168.7052201,16.25350903,0.103796183,1.687052201,FR
MGV,food,71.06891956,186.9945563,2.631172072,0.710689196,1.869945563,LE
MGV,food,0.397239834,273.7345011,689.0912685,0.003972398,2.737345011,FR
MGV,food,-3.963209341,249.6924216,-63.00258203,-0.039632093,2.496924216,LE
MGV,food,15.70830473,319.869134,20.36305887,0.157083047,3.19869134,FR
MGV,food,18.5748563,229.7057245,12.36648729,0.185748563,2.297057245,FR
MGV,food,20.68061053,233.6902161,11.29996698,0.206806105,2.336902161,LE
MGV,food,23.60343761,353.2587845,14.96641253,0.236034376,3.532587845,FR
MGV,food,9.104356192,300.9091427,33.05111711,0.091043562,3.009091427,FR
MGV,food,26.07112865,203.2540826,7.796136689,0.260711287,2.032540826,FR
