No,Collection,Sample,Vernacular,Family,Genus,Species,Latin,Part,DM,NDF,ADF,ADL,CP,ADIN,fat,ash,TNC,sugar,starch
210,20/03/2023,MGV 68,Fanorafa,NA,NA,NA,NA,FR,0.94,68.1569233,61.6791495,39.7098159,3.3168308,1.41,5.4992509,2.5961975,22.3356232,10.88173718,2.339542686
211,20/03/2023,MGV 69,Lafa,Arecaceae,Ravenea,robustior,Ravenea robustior,FR,0.94,77.3782589,58.9791382,23.7265608,7.0078245,4.39,2.5974097,1.8009098,13.8377678,6.901504455,2.223517902
212,20/03/2023,MGV 70,Fantsikahitra-lg,Rubiaceae,Canthium,sp.,Canthium sp.,FR,0.95,53.6926710,43.8982653,17.6146164,5.0363553,0.99,1.5935225,2.0927492,41.6353817,24.46765769,1.790784014
213,20/03/2023,MGV 71,Vahiherotra,Connaraceae,Agelaea,pentagyna,Agelaea pentagyna,FR,0.95,14.5238808,8.2674730,4.3905118,5.3285293,3.65,5.4356999,9.7596045,66.6284001,,
214,20/03/2023,MGV 72,Apana,Moraceae,Ficus,pachyclada,Ficus pachyclada,FR,0.94,47.7835702,36.9435411,13.0990725,12.4694977,7.41,5.0247745,9.9732174,29.8096308,2.964105896,0.908557749
215,08/04/2023,MGV 73,Tambonetra,NA,NA,NA,NA,LE,0.92,44.1288696,27.9217343,11.9114850,11.5039112,4.69,3.1497587,3.3574661,44.6775900,,
216,08/04/2023,MGV 74,Ramiavotoloho,Annonaceae,Ambavia,capuronii,Ambavia capuronii ,LE,0.94,52.6681644,42.7304045,30.2789666,26.0701460,16.84,5.0269014,4.6203755,20.8471755,4.141627416,0.757131457
217,08/04/2023,MGV 75,Tavolomanitra,Lauraceae,Cryptocarya,crassifolia,Cryptocarya crassifolia,LE,0.94,60.6046697,32.4633544,13.1322991,19.4655584,15.00,2.9263249,3.3121542,18.1536269,,
218,08/04/2023,MGV 76,Tongolahy,Loranthaceae,Bakerella,clavata,Bakerella clavata,LE,0.93,46.7906503,41.9741204,28.5152314,8.1966228,-0.72,2.9763115,6.4720751,44.4818494,,
219,08/04/2023,MGV 77,Sary,Lauraceae,Beilschmiedia,sary,Beilschmiedia sary,LE,0.94,44.6250432,38.4685738,24.6777352,9.7306651,3.27,2.0839104,4.9206281,45.0961611,,
