No,Collection,Sample,Vernacular,Family,Genus,Species,Latin,Part,DM,NDF,ADF,ADL,CP,ADIN,fat,ash,TNC,sugar,starch
69,20/01/2023,TALA 69,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,FR,0.93,69.5692352,55.1773415,26.7629046,6.9512172,2.93,2.0201989,9.8814021,15.5942478,,
70,21/01/2023,TALA 70,Varongy,Lauraceae,Ocotea,nervosa,Ocotea nervosa,FR,0.97,27.8705424,19.0684462,15.4734862,12.3062742,8.93,44.9381930,5.1770928,13.0812749,,
71,22/01/2023,TALA 71,Tavolomilaliambo,Lauraceae,Cryptocarya,sp.,Cryptocarya sp.,FR,0.93,26.2053684,20.4466540,15.1116709,17.8897054,10.12,8.8204367,8.2214390,46.6376029,,
72,23/01/2023,TALA 72,Lafa,Arecaceae,Ravenea,robustior,Ravenea robustior,FR,0.94,69.9389853,48.0893051,4.4031879,10.0917930,8.14,2.5697406,6.6465156,12.7075012,,
73,10/02/2023,TALA 73,Varongy,Lauraceae,Ocotea,nervosa,Ocotea nervosa,FR,0.97,25.7318718,18.7318733,13.7559770,15.0599467,9.88,40.9497789,2.5971667,20.8392118,,
74,10/02/2023,TALA 74,Voamalombotaholahy,Clusiaceae,Garcinia,sp.,Garcinia sp.,FR,0.92,22.9094063,19.6236704,8.6065830,7.6575028,4.93,8.5226879,2.5580447,61.0821525,,
75,10/02/2023,TALA 75,Bararatalahy,NA,NA,NA,NA,FR,0.94,53.5380434,43.3968299,21.1366974,7.2215234,3.35,1.9780479,3.1024911,38.0267531,,
76,10/02/2023,TALA 76,Hazoporetaka,NA,NA,NA,NA,FR,0.95,23.2195440,18.7905644,6.0736659,7.5612503,5.40,6.9305425,7.0069935,57.4438415,,
77,10/02/2023,TALA 77,Nonoka,Moraceae,Ficus,reflexa,Ficus reflexa,FR,0.94,72.8914204,55.9067629,25.7962723,4.8341777,1.45,2.1045239,4.1216173,19.4366838,7.041827853,1.589431215
78,10/02/2023,TALA 78,Lafa,Arecaceae,Ravenea,robustior,Ravenea robustior,FR,0.94,66.1488172,44.3758245,7.2385472,9.3852713,7.85,2.6393199,3.9293725,19.4326195,,
79,10/02/2023,TALA 79,Faritraty,NA,NA,NA,NA,FR,0.94,54.1002735,48.7363316,29.4332544,7.0968631,2.67,1.6981667,5.3592017,36.1721691,,
80,10/02/2023,TALA 80,Tavolomilaliambo,Lauraceae,Cryptocarya,sp.,Cryptocarya sp.,FR,0.94,27.4903665,21.9475121,16.5088131,15.0819516,8.12,5.8364344,9.6357945,48.9149044,,
